Date,Open,High,Low,Close,Adj Close,Volume
1/2/2021,206.75,209.789993,206.270004,209.779999,209.779999,12077100
1/3/2021,207.210007,210.399994,206.949997,208.669998,208.669998,11188400
1/6/2021,206.699997,212.779999,206.520004,212.600006,212.600006,17058900
1/7/2021,212.820007,214.580002,211.75,213.059998,213.059998,14912400
1/8/2021,213,216.240005,212.610001,215.220001,215.220001,13475000
1/9/2021,217.539993,218.380005,216.279999,218.300003,218.300003,12642800
1/10/2021,219.199997,219.880005,217.419998,218.059998,218.059998,12119400
1/13/2021,219.600006,221.970001,219.210007,221.910004,221.910004,14463400
1/14/2021,221.610001,222.380005,218.630005,219.059998,219.059998,13288900
1/15/2021,220.610001,221.679993,220.139999,221.149994,221.149994,10036500
1/16/2021,222.570007,222.630005,220.389999,221.770004,221.770004,10015300
1/17/2021,222.029999,222.289993,220.529999,222.139999,222.139999,15905900
1/21/2021,222.160004,222.369995,219.119995,221.440002,221.440002,14275800
1/22/2021,222.309998,222.75,221.279999,221.320007,221.320007,12212800
1/23/2021,220.75,221.490005,219.270004,219.759995,219.759995,11195000
1/24/2021,220.800003,221.779999,216.110001,217.940002,217.940002,11905800
1/27/2021,213.100006,216.059998,212.5,214.869995,214.869995,13810700
1/28/2021,216.139999,218.740005,213.520004,217.789993,217.789993,13413800
1/29/2021,221.440002,224.199997,218.449997,223.229996,223.229996,33181300
1/30/2021,206.529999,211.429993,204.75,209.529999,209.529999,48775500
1/31/2021,208.429993,208.690002,201.059998,201.910004,201.910004,31359900
2/3/2021,203.440002,205.139999,202.5,204.190002,204.190002,15510500
2/4/2021,206.619995,210.600006,205.199997,209.830002,209.830002,19628900
2/5/2021,212.509995,212.729996,208.710007,210.110001,210.110001,12538200
2/6/2021,210.470001,211.190002,209.339996,210.850006,210.850006,10567500
2/7/2021,210.300003,212.820007,209.929993,212.330002,212.330002,12242500
2/10/2021,211.520004,213.800003,210.660004,213.059998,213.059998,11856400
2/11/2021,210.190002,210.860001,206.509995,207.190002,207.190002,25030800
2/12/2021,207.850006,211.220001,207.399994,210.759995,210.759995,13813700
2/13/2021,209.520004,214.330002,209.179993,213.139999,213.139999,15396600
2/14/2021,214,214.929993,212.649994,214.179993,214.179993,10741700
2/18/2021,213.550003,217.979996,213.399994,217.800003,217.800003,15609200
2/19/2021,217.990005,218.320007,216.110001,217.490005,217.490005,12135100
2/20/2021,216.520004,218.770004,212.949997,214.580002,214.580002,13109200
2/21/2021,213.479996,214.240005,208.830002,210.179993,210.179993,14092300
2/24/2021,201.800003,203.649994,198.169998,200.720001,200.720001,23080100
2/25/2021,202.25,203.5,195.949997,196.770004,196.770004,21433500
2/26/2021,197.190002,201.210007,195.490005,197.199997,197.199997,16524500
2/27/2021,191.820007,195.880005,189.5,189.75,189.75,21641800
2/28/2021,182.699997,192.740005,181.820007,192.470001,192.470001,32583500
3/2/2021,194.029999,196.570007,188.850006,196.440002,196.440002,24949000
3/3/2021,196.220001,197.240005,183.970001,185.889999,185.889999,27984100
3/4/2021,189.169998,191.830002,186.389999,191.759995,191.759995,23062500
3/5/2021,186.779999,188.990005,183.889999,185.169998,185.169998,19333400
3/6/2021,178.330002,183.779999,176.259995,181.089996,181.089996,24559600
3/9/2021,169.600006,175,165.190002,169.5,169.5,29949000
3/10/2021,174.669998,178.289993,169.5,178.190002,178.190002,24517800
3/11/2021,174.009995,175.880005,167.660004,170.240005,170.240005,20373900
3/12/2021,159.539993,166.600006,154.339996,154.470001,154.470001,43266300
3/13/2021,163.529999,170.789993,157.600006,170.279999,170.279999,35028600
3/16/2021,152.320007,159.130005,143.100006,146.009995,146.009995,39120400
3/17/2021,150.740005,153.940002,140,149.419998,149.419998,34255600
3/18/2021,139.75,148.179993,137.100006,146.960007,146.960007,37553100
3/19/2021,146.619995,159.929993,144.800003,153.130005,153.130005,39862300
3/20/2021,156.020004,159.270004,148,149.729996,149.729996,32568400
3/23/2021,149.660004,152.309998,142.25,148.100006,148.100006,29830800
3/24/2021,155.210007,161.309998,152.570007,160.979996,160.979996,30440400
3/25/2021,158.919998,162.990005,153.059998,156.210007,156.210007,35184300
3/26/2021,158.25,164,157.020004,163.339996,163.339996,26556800
3/27/2021,158.199997,160.089996,154.75,156.789993,156.789993,24879900
3/30/2021,159.179993,166.75,158.059998,165.949997,165.949997,22515200
3/31/2021,165.479996,170.929993,164.199997,166.800003,166.800003,23676300
4/1/2021,161.619995,164.149994,158.039993,159.600006,159.600006,19507600
4/2/2021,159.100006,161.350006,155.919998,158.190002,158.190002,20886300
4/3/2021,157.149994,157.910004,150.830002,154.179993,154.179993,25983300
4/6/2021,160.149994,166.199997,158.509995,165.550003,165.550003,28453600
4/7/2021,171.789993,173.389999,166.009995,168.830002,168.830002,31411900
4/8/2021,171.25,175,167.740005,174.279999,174.279999,21664200
4/9/2021,175.899994,177.080002,171.570007,175.190002,175.190002,23534300
4/13/2021,173.669998,175,169.449997,174.789993,174.789993,19355400
4/14/2021,178.979996,181.229996,176.619995,178.169998,178.169998,21011800
4/15/2021,175.190002,178.190002,172.820007,176.970001,176.970001,17423000
4/16/2021,177.949997,178.050003,172.509995,176.25,176.25,23593200
4/17/2021,179.199997,180.279999,176.660004,179.240005,179.240005,20974800
4/20/2021,177.410004,180.5,176.770004,178.240005,178.240005,16110700
4/21/2021,175.25,175.380005,168.339996,170.800003,170.800003,24850500
4/22/2021,178.449997,184.779999,178.139999,182.279999,182.279999,33369900
4/23/2021,184.080002,187.050003,183.149994,185.130005,185.130005,21426600
4/24/2021,183.229996,190.410004,180.830002,190.070007,190.070007,28868500
4/27/2021,192.660004,193.75,187.410004,187.5,187.5,29197800
4/28/2021,188.660004,189.199997,182.559998,182.910004,182.910004,21731000
4/29/2021,190.929993,196.910004,190,194.190002,194.190002,45954500
4/30/2021,206.919998,209.690002,201.570007,204.710007,204.710007,46173300
5/1/2021,201.600006,207.279999,199.050003,202.270004,202.270004,30415600
5/4/2021,200.199997,205.910004,198.759995,205.259995,205.259995,19250700
5/5/2021,207.020004,210.380005,206.5,207.070007,207.070007,21071200
5/6/2021,208.119995,211.600006,206.660004,208.470001,208.470001,21857000
5/7/2021,211.160004,211.600006,209.039993,211.259995,211.259995,15152000
5/8/2021,212.240005,213.210007,210.850006,212.350006,212.350006,12524000
5/11/2021,210.889999,215,210.369995,213.179993,213.179993,12893100
5/12/2021,213.289993,215.279999,210,210.100006,210.100006,14704600
5/13/2021,209.429993,210.779999,202.110001,205.100006,205.100006,20684600
5/14/2021,202.559998,206.929993,200.690002,206.809998,206.809998,17178900
5/15/2021,205.270004,211.339996,204.119995,210.880005,210.880005,19383200
5/18/2021,212.149994,214.639999,210.940002,213.190002,213.190002,20167400
5/19/2021,213.270004,220.490005,212.830002,216.880005,216.880005,31843200
5/20/2021,223.5,231.339996,223.190002,229.970001,229.970001,50162900
5/21/2021,234.720001,237.199997,231.199997,231.389999,231.389999,47782600
5/22/2021,231.509995,235.990005,228.740005,234.910004,234.910004,33925600
5/26/2021,239.770004,240.899994,231.669998,232.199997,232.199997,33178300
5/27/2021,229.070007,230.559998,221.130005,229.139999,229.139999,34697600
5/28/2021,224.300003,231.630005,224,225.460007,225.460007,29377200
5/29/2021,225.199997,227.490005,222.880005,225.089996,225.089996,23322500
6/1/2021,224.589996,232.440002,223.5,231.910004,231.910004,18223800
6/2/2021,230.940002,233,226.559998,232.720001,232.720001,20919000
6/3/2021,232.110001,232.649994,228.529999,230.160004,230.160004,15380300
6/4/2021,229.559998,231.630005,224.610001,226.289993,226.289993,17041500
6/5/2021,226.710007,231.350006,225.309998,230.770004,230.770004,16750400
6/8/2021,229.029999,231.550003,227.410004,231.399994,231.399994,15466500
6/9/2021,231.520004,239.770004,230.410004,238.669998,238.669998,27462900
6/10/2021,240.960007,241.210007,235.279999,236.729996,236.729996,20720700
6/11/2021,229.940002,232.889999,223.550003,224.429993,224.429993,26708200
6/12/2021,229.899994,231.660004,224.5,228.580002,228.580002,22071700
6/15/2021,225.089996,233.770004,224.800003,232.5,232.5,15340300
6/16/2021,237.139999,238.460007,233,235.649994,235.649994,15236700
6/17/2021,235,237.589996,231.729996,235.529999,235.529999,19552800
6/18/2021,234.990005,236.139999,232.149994,235.940002,235.940002,15782500
6/19/2021,237.789993,240.830002,235.550003,238.789993,238.789993,30069700
