Date,Open,High,Low,Close,Adj Close,Volume
6/20/2018,190.949997,191.160004,187.639999,189.529999,189.529999,14635700
6/21/2018,188.75,192,188.75,191.139999,191.139999,22751200
6/24/2018,192.419998,193.979996,191.570007,192.600006,192.600006,15509000
6/25/2018,192.880005,193.139999,188.130005,188.839996,188.839996,16750300
6/26/2018,189.539993,190.759995,187.309998,187.660004,187.660004,12808600
6/27/2018,189.880005,198.880005,188.270004,189.5,189.5,11159000
6/28/2018,190.550003,193.199997,189.940002,193,193,16378900
7/1/2018,195.210007,195.279999,191.929993,193,193,14204700
7/2/2018,193,195,192.710007,195,195,9050000
7/3/2018,194.160004,197.399994,194.160004,197.199997,197.199997,10246100
7/5/2018,196.179993,197.070007,194.169998,196.399994,196.399994,11164100
7/8/2018,195.190002,196.679993,193.639999,195.759995,195.759995,9723900
7/9/2018,194.970001,199.460007,194.889999,199.210007,199.210007,14698600
7/10/2018,200,202.960007,199.669998,202.729996,202.729996,20571700
7/11/2018,203.259995,203.800003,200.210007,201.229996,201.229996,13678500
7/12/2018,199.679993,205.300003,199.160004,204.869995,204.869995,15366300
7/15/2018,204.25,205.330002,201.820007,203.910004,203.910004,16030300
7/16/2018,203.889999,205.470001,203.100006,203.839996,203.839996,12132700
7/17/2018,204.179993,204.360001,201.589996,201.800003,201.800003,12083700
7/18/2018,200.149994,202.470001,199.380005,200.779999,200.779999,11956600
7/19/2018,202.179993,202.330002,198.070007,198.360001,198.360001,12098300
7/22/2018,199.910004,202.570007,198.809998,202.320007,202.320007,13589000
7/23/2018,202.839996,204.240005,200.960007,202.360001,202.360001,14583700
7/24/2018,197.630005,204.809998,197.220001,204.660004,204.660004,32532500
7/25/2018,206.699997,208.660004,198.259995,200.710007,200.710007,39889900
7/26/2018,200.190002,202.880005,196.25,199.75,199.75,24434000
7/29/2018,199,199.630005,195.300003,195.940002,195.940002,16530800
7/30/2018,195.389999,198.710007,193.5,197.039993,197.039993,11903600
7/31/2018,196.949997,198.759995,192.679993,194.229996,194.229996,14593500
8/1/2018,194.169998,198.470001,190.880005,192.729996,192.729996,17777000
8/2/2018,191.100006,192.619995,188.070007,189.020004,189.020004,15297000
8/5/2018,184.690002,185.669998,179.339996,181.729996,181.729996,23086700
8/6/2018,183.690002,185.789993,183.089996,184.509995,184.509995,18035700
8/7/2018,183.600006,186.369995,181.220001,185.149994,185.149994,15833200
8/8/2018,186.619995,190.339996,184.050003,190.160004,190.160004,14828900
8/9/2018,190,190.979996,187.119995,187.850006,187.850006,11058800
